Framework,Lot,Supplier,Customer,For_Month,Product_Service_Description,Total_Charge
G-Cloud Services II,4,FLYINGBINARY LTD,Office for Standards in Education,2013-04-01l,Tableau Data Visualisation,1800
G-Cloud III,4,FLYINGBINARY LTD,Office for Standards in Education,2013-08-01l,Tableau Data Visualisation,38125
G-Cloud Services II,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2013-02-01l,Change Enabling Service,6406.25
G-Cloud Services II,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2013-02-01l,Change Enabling Service,27668.75
G-Cloud Services II,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2013-03-01l,Change Enabling Service,3281.25
G-Cloud Services II,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2013-03-01l,Change Enabling Service,18584.38
G-Cloud Services II,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2013-05-01l,Change Enabling Service,2850
G-Cloudi,4,FODEN GREALY LTD,Cabinet Office,2012-06-01l,Change Enabling Service,48550
G-Cloudi,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2012-09-01l,Change Enabling Service,11328.13
G-Cloudi,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2012-10-01l,Change Enabling Service,45468.75
G-Cloudi,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2012-11-01l,Change Enabling Service,6471.88
G-Cloudi,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2012-11-01l,Change Enabling Service,35781.25
G-Cloudi,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2012-12-01l,Change Enabling Service,33740.63
G-Cloudi,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2013-01-01l,Change Enabling Service,17196.88
G-Cloudi,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2013-02-01l,Change Enabling Service,6406.25
G-Cloudi,4,FODEN GREALY LTD,Department for Environment Food And Rural Affairs,2013-02-01l,Change Enabling Service,27668.75
G-Cloud III,2,FUBRA LTD,Department for Culture Media And Sport,2013-06-01l,vCluster Lite,5
G-Cloud III,2,FUBRA LTD,Wales Office,2013-06-01l,vCluster Pro,25
G-Cloud III,2,FUBRA LTD,Wales Office,2013-06-01l,vCluster Lite,5
G-Cloud Services II,2,FUBRA LTD,Department For Communities And Local Government,2013-01-01l,CatN vCluster Lite Subscription,5
G-Cloud Services II,2,FUBRA LTD,Department for Culture Media and Sport,2012-11-01l,CatN vCluster Lite Subscription,5
G-Cloud Services II,2,FUBRA LTD,Department for Culture Media And Sport,2013-02-01l,vCluster Lite,5
G-Cloud Services II,2,FUBRA LTD,Department for Culture Media And Sport,2013-03-01l,vCluster Lite,5
G-Cloud Services II,2,FUBRA LTD,Department for Culture Media And Sport,2013-05-01l,vCluster Lite,5
G-Cloud Services II,2,FUBRA LTD,Wales Office,2013-05-01l,vCluster Pro,20
G-Cloud Services II,2,FUBRA LTD,Wales Office,2013-05-01l,vCluster Lite,5
G-Cloud Services II,2,FUBRA LTD,Wales Office,2012-11-01l,CatN vCluster Pro SubscriptionCatN vCluster Lite Subscription,30
G-Cloud Services II,2,FUBRA LTD,Wales Office,2013-02-01l,vCluster Lite,5
G-Cloud Services II,2,FUBRA LTD,Wales Office,2013-02-01l,vCluster Pro,25
G-Cloud Services II,2,FUBRA LTD,Wales Office,2013-03-01l,vCluster Lite,5
G-Cloud Services II,2,FUBRA LTD,Wales Office,2013-03-01l,vCluster Pro,25
G-Cloudi,2,FUBRA LTD,Department for Culture Media And Sport,2012-05-01l,CatN vCluster Lite SubscriptionCatN vCluster SSL Certificate x 2,80
G-Cloudi,2,FUBRA LTD,Wales Office,2012-05-01l,CatN vCluster Lite Subscription x 2,10
G-Cloudi,2,FUBRA LTD,Department for Culture Media And Sport,2012-06-01l,CatN vCluster SSL Certificate x 2CatN vCluster Lite Subscription x 2,85
G-Cloudi,2,FUBRA LTD,Wales Office,2012-06-01l,CatN vCluster Lite Subscription x 3CatN vCluster Pro Subscription,40
G-Cloudi,2,FUBRA LTD,Department for Culture Media And Sport,2012-07-01l,CatN vCluster Lite Subscription,5
G-Cloudi,2,FUBRA LTD,Wales Office,2012-07-01l,CatN vCluster Lite SubscriptionCatN vCluster Pro Subscription,30
G-Cloudi,2,FUBRA LTD,Department for Culture Media And Sport,2012-08-01l,CatN vCluster Lite Subscription,5
G-Cloudi,2,FUBRA LTD,Wales Office,2012-08-01l,CatN vCluster Lite SubscriptionCatN vCluster Pro Subscription,30
G-Cloudi,2,FUBRA LTD,Department for Culture Media And Sport,2012-09-01l,CatN vCluster Lite Subscription,5
G-Cloudi,2,FUBRA LTD,Wales Office,2012-09-01l,CatN vCluster Lite SubscriptionCatN vCluster Pro Subscription,30
G-Cloudi,2,FUBRA LTD,Department for Culture Media And Sport,2012-10-01l,CatN vCluster Lite Subscription,5
G-Cloudi,2,FUBRA LTD,Wales Office,2012-10-01l,CatN vCluster Lite SubscriptionCatN vCluster Pro Subscription,30
G-Cloudi,2,FUBRA LTD,Department for Culture Media And Sport,2012-11-01l,CatN vCluster Lite Subscription,5
G-Cloudi,2,FUBRA LTD,Wales Office,2012-11-01l,CatN vCluster Lite SubscriptionCatN vCluster Pro Subscription,30
G-Cloudi,2,FUBRA LTD,Department for Culture Media And Sport,2012-12-01l,CatN vCluster Lite Subscription,5
G-Cloudi,2,FUBRA LTD,Wales Office,2012-12-01l,CatN vCluster Lite SubscriptionCatN vCluster Pro Subscription,30
G-Cloud Services II,3,Fujitsu Services Ltd,Home Office,2013-08-01l,EDRM SaaS,30.69
G-Cloud Services II,3,Fujitsu Services Ltd,Home Office,2013-08-01l,EDRM SaaS,100
G-Cloud Services II,3,Fincore Ltd,Home Office,2013-09-01l,CBPM Collaboration Platform,49600
G-Cloud Services II,3,Fincore Ltd,Home Office,2013-09-01l,CBPM Collaboration Platform,14150
G-Cloud Services II,3,FUNNELBACK UK LTD,University of Surrey,2013-01-01l,Funnelback,20800
G-Cloud Services II,3,Gandlake Limited,Aylesbury Vale District Council,2013-04-01l,TransAct,8000
G-Cloud Services II,3,Gandlake Limited,Aylesbury Vale District Council,2013-04-01l,Citizens Account,25000
G-Cloud Services II,3,Gandlake Limited,Aylesbury Vale District Council,2013-07-01l,TransAct,3375
G-Cloud Services II,3,Gandlake Limited,Aylesbury Vale District Council,2013-07-01l,Citizens Account,8125
G-Cloud Services II,3,Gandlake Limited,London Borough of Lambeth Council,2013-06-01l,Citizens Account,25000
G-Cloud Services II,3,Gandlake Limited,London Borough of Lambeth Council,2013-06-01l,TransAct,8000
G-Cloud Services II,3,Gandlake Limited,Rotherham Metropolitan Borough Council,2013-06-01l,Citizens Account,25000
G-Cloud Services II,3,Gandlake Limited,Rotherham Metropolitan Borough Council,2013-06-01l,TransAct,8000
G-Cloud Services II,4,Glue Reply,Home Office,2013-05-01l,Business Analysis,12900
G-Cloud Services II,4,Glue Reply,Home Office,2013-04-01l,Cloud business analysis,33800
G-Cloud Services II,3,GORDANO LTD,Independent Police Complaints Commission,2013-03-01l,Cloudline,50
G-Cloud Services II,3,GORDANO LTD,Independent Police Complaints Commission,2013-03-01l,24 Hour support,100
G-Cloud Services II,3,GORDANO LTD,Independent Police Complaints Commission,2013-03-01l,Cloudline,200
G-Cloud Services II,3,GORDANO LTD,Independent Police Complaints Commission,2013-03-01l,24Hour Support,400
G-Cloud Services II,3,GORDANO LTD,Independent Police Complaints Commission,2013-04-01l,Cloudline,25
G-Cloud Services II,3,GORDANO LTD,Independent Police Complaints Commission,2013-04-01l,Support,50
G-Cloud Services II,4,Fivium Limited,Marine Management Organisation,2013-09-01l,FOXopen Cloud Development and Support Services,24278
G-Cloud Services II,3,Fivium Limited,Department For Business Innovation And Skills,2013-09-01l,eCase Correspondence Handling and Case Management IL3,22058
G-Cloud III,3,GOSS Interactive Ltd,Uttlesford District Council,2013-07-01l,G-Cloud Hosting and Support,9785
G-Cloud III,3,GOSS Interactive Ltd,Uttlesford District Council,2013-07-01l,G-Cloud Hosting and Support,17940
G-Cloudi,3,GOVDELIVERY INC,Department for Work and Pensions,2012-04-01l,DiG-Cloud tal Communication Management Platform,7982
G-Cloudi,3,GOVDELIVERY INC,Home Office,2012-07-01l,DiG-Cloud tal Communication Management Platform,7743.75
G-Cloudi,3,GOVDELIVERY INC,Food Standards Agency,2012-10-01l,DiG-Cloud tal Subscription Management Monthly FeeAPI Development,76336.5
G-Cloudi,3,GOVDELIVERY INC,Food Standards Agency,2012-11-01l,DiG-Cloud tal Subscription Management monthly fee,10318
G-Cloudi,3,GOVDELIVERY INC,Food Standards Agency,2012-12-01l,DiG-Cloud tal Subscription Management monthly feeAPI Development fees,15968
G-Cloudi,3,GOVDELIVERY INC,Food Standards Agency,2013-01-01l,Digital Subscription Management monthly fee,10318
G-Cloudi,3,GOVDELIVERY INC,Food Standards Agency,2013-02-01l,Digital Subscription Management monthly fee,10318
G-Cloudi,3,GOVDELIVERY INC,Government Digital Service,2013-03-01l,Digital Subscription Management monthly fee,2490
G-Cloudi,3,GOVDELIVERY INC,Government Digital Service,2013-03-01l,Setup fees,3200
G-Cloudi,3,GOVDELIVERY INC,Government Digital Service,2013-03-01l,Digital Subscription Management monthly fee,10318
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-04-01l,Setup fees,2000
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-04-01l,Digital Subscription Management monthly fee,2490
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-05-01l,Digital Subscription Management monthly fee,2490
G-Cloud Services II,3,GOVDELIVERY INC,Audit Scotland,2013-06-01l,Digital Subscription Management annual fee,11964
G-Cloud Services II,3,GOVDELIVERY INC,Audit Scotland,2013-06-01l,Digital Subscription Management annual fee,2000
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-06-01l,Digital Subscription Management annual fee,2490
G-Cloudi,3,GOVDELIVERY INC,Government Digital Service,2013-04-01l,Digital Subscription Management monthly fee,10318
G-Cloudi,3,GOVDELIVERY INC,Government Digital Service,2013-05-01l,Digital Subscription Mgmt Monthly fee,16509.2
G-Cloudi,3,GOVDELIVERY INC,Government Digital Service,2013-06-01l,Government Digital Service,10318.25
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-07-01l,Digital Subscription Management setup fees,15960
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-07-01l,Digital Subscription Management setup fees,10318.25
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-07-01l,Digital Subscription Management setup fees,2490
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-08-01l,Digital Subscription Management monthly fee,2490
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-08-01l,Digital Subscription Management monthly fee,10318.25
G-Cloud Services II,3,GOVDELIVERY INC,HM Revenue and Customs,2013-08-01l,Digital Subscription Management monthly fee,3980
G-Cloud Services II,3,GOVDELIVERY INC,HM Revenue and Customs,2013-08-01l,Digital Subscription Management monthly fee,3980
G-Cloud Services II,3,GOVDELIVERY INC,HM Revenue and Customs,2013-08-01l,Digital Subscription Management setup fees,10000
G-Cloud Services II,3,Fujitsu Services Ltd,Home Office,2013-09-01l,EDRM SaaS,33.61
G-Cloud Services II,3,Fujitsu Services Ltd,Home Office,2013-09-01l,EDRM SaaS,170
G-Cloud Services II,3,GORDANO LTD,HM Revenue and Customs,2013-09-01l,monthly hosted cloud accounts including telephone support,120
G-Cloud Services II,3,GPTeamNet Limited,Kingston Clinical Commissioning Group,2013-03-01l,GPTeamNet,24838.17
G-Cloud Services II,3,GPTeamNet Limited,NHS Tees,2012-11-01l,Provision of GPTeamNet for Hartlepool & Stockton CCG and South Tees CCG,60432.81
G-Cloud Services II,3,GPTeamNet Limited,Warrington Primary Care Trust,2013-03-01l,GPTeamNet,26685.51
G-Cloud Services II,3,HootSuite Media Inc,Department for Environment Food And Rural Affairs,2013-07-01l,Social Media Management Software,17280
G-Cloud Services II,3,HootSuite Media Inc,Historic Scotland,2013-05-01l,Social Media Management Software,3500
G-Cloud Services II,3,HootSuite Media Inc,Scottish Enterprise,2013-05-01l,Social Media Management Software,14000
G-Cloud Services II,3,HootSuite Media Inc,UK Commission for Employment and Skills,2013-06-01l,Social Media Management Software,7000
G-Cloud Services II,3,HootSuite Media Inc,Welsh Government,2013-03-01l,Social Media Management Software,28800
G-Cloud Services II,3,HootSuite Media Inc,Mid and West Wales Fire and Rescue Service,2013-08-01l,Social Media Management Software,3000
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2012-11-01l,HTK HORIZON TRANSACTIONS,191.76
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2012-11-01l,HTK HORIZON SOFTWARE,550
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2012-12-01l,HTK HORIZON TRANSACTIONS,35
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2012-12-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-01-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-02-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-03-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-04-01l,HTK HORIZON SOFTWARE,52.08
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-04-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-04-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Defra Investigation Services,2012-11-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Defra Investigation Services,2012-12-01l,HTK HORIZON SOFTWARE,7000
G-Cloud Services II,3,HTK Ltd,Defra Investigation Services,2013-01-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Defra Investigation Services,2013-02-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-03-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-03-01l,HTK HORIZON SOFTWARE,12000
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-03-01l,HTK HORIZON SOFTWARE,50000
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-07-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-07-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-07-01l,HTK HORIZON TRANSACTIONS,245.2
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-07-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-07-01l,HTK HORIZON TRANSACTIONS,6.45
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-05-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-05-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-05-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-05-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-05-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-05-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-06-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-06-01l,HTK HORIZON TRANSACTIONS,218.52
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-06-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-06-01l,HTK HORIZON TRANSACTIONS,0.77
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-06-01l,HTK HORIZON TRANSACTIONS,0.36
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-06-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-06-01l,HTK HORIZON TRANSACTIONS,2.53
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-08-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-08-01l,HTK HORIZON TRANSACTIONS,122.79
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-08-01l,HTK HORIZON TRANSACTIONS,63.16
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-08-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-08-01l,HTK HORIZON TRANSACTIONS,99
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-08-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-08-01l,HTK HORIZON TRANSACTIONS,1.59
G-Cloud Services II,3,GORDANO LTD,HM Revenue and Customs,2013-09-01l,Cloud email service including telephone support per user per month,120
G-Cloud Services II,3,GOVDELIVERY INC,HM Revenue and Customs,2013-09-01l,Digital Subscription Management monthly fee,3980
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-09-01l,Digital Subscription Management monthly fee,10318.25
G-Cloud Services II,3,GOVDELIVERY INC,Government Digital Service,2013-09-01l,Digital Subscription Management monthly fee,2490
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-09-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,4,i2N,Ministry of Justice,2013-07-01l,SFIA Consultancy,154752
G-Cloud Services II,4,i2N,Ministry of Justice,2013-05-01l,SFIA Consultancy,110821
G-Cloud Services II,4,i2N,Ministry of Justice,2013-06-01l,SFIA Consultancy,57005
G-Cloud Services II,4,i2N,Ministry of Justice,2013-02-01l,SFIA Consultancy,70447
G-Cloud Services II,4,i2N,Ministry of Justice,2013-02-01l,Inter Agency Case Transfer,146000
G-Cloud Services II,4,i2N,Ministry of Justice,2013-03-01l,SFIA Consultancy,191695
G-Cloud Services II,4,i2N,Ministry of Justice,2013-04-01l,SFIA Consultancy,205772
G-Cloud Services II,4,i2N,Ministry of Justice,2013-08-01l,SFIA Consultancy,152500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-09-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-07-01l,Early Live Support - ELS5,303540
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-07-01l,Early Live Support - ELS6,130089
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-07-01l,Maintenance Release - MR3,664377
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-04-01l,BAU 3 Part 2 - Milestone M1,113727
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-04-01l,BAU 3 Part 2 - Milestone M2,152691
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-04-01l,Further development work - Milestone 4,158091
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-04-01l,Further development work - Milestone 2,188226
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-04-01l,Further development work - Milestone 3,316181
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-04-01l,Further development work - Milestone 1,376453
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-05-01l,Early Live Support,90069
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-07-01l,Single Caseworking Process,298555
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-07-01l,ICW - BA Support,9842
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-07-01l,ICW - Integrated Planning Manager,12654
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-07-01l,ICW - Oracle OPA Resource,22631
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-06-01l,Maintenance Release - MR1a,416294
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-06-01l,Maintenance Release - MR1b,16065
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-06-01l,Maintenance Release - MR2,429387
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-06-01l,Early Live Support - ELS1,210160
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-06-01l,Early Live Support - ELS3,243902
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-06-01l,Early Live Support - ELS4,104529
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-06-01l,Single Caseworking Process - SCP1,317527
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-06-01l,Single Caseworking Process - SCP2,296650
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-08-01l,Oracle OPA Resource,17442
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-08-01l,Oracle OPA Resource,21525
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-08-01l,Integrated Planning Manager,15466
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-09-01l,HTK HORIZON TRANSACTIONS,77.64
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-09-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-09-01l,HTK HORIZON TRANSACTIONS,1.59
G-Cloud III,4,BJSS LTD,Health Research Authority,2013-09-01l,Sprint 0  1,17514
G-Cloud III,4,BJSS LTD,Foreign And Commonwealth Office,2013-09-01l,September Fees,141225
G-Cloud III,4,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO,2013-09-01l,Enterprise Architecture Service (ID:3.G3.073.046) as defined in the proposal FP3864/3955 dated 30 May 2013 with a total of 370 units of work,23670
G-Cloud III,4,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO,2013-09-01l,Enterprise Architecture Service (ID:3.G3.073.046) as defined in the proposal FP3864/3955 dated 30 May 2013 with a total of 370 units of work,3141.5
G-Cloud III,4,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO,2013-09-01l,Enterprise Architecture Service (ID:3.G3.073.046) as defined in the proposal FP3864/3955 dated 30 May 2013 with a total of 370 units of work,42084
G-Cloud III,4,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO,2013-09-01l,Enterprise Architecture Service (ID:3.G3.073.046) as defined in the proposal FP3864/3955 dated 30 May 2013 with a total of 370 units of work,5400
G-Cloud III,4,BMT Hi-Q Sigma Ltd,Defence Infrastructure Organisation DIO,2013-09-01l,Enterprise Architecture Service (ID:3.G3.073.046) as defined in the proposal FP3864/3955 dated 30 May 2013 with a total of 370 units of work,31230
G-Cloud III,4,CADENCE PARTNERSHIP LLP,Natural England,2013-09-01l,SCS,11900
G-Cloud III,4,CADENCE PARTNERSHIP LLP,Natural England,2013-09-01l,SCS,1017.56
G-Cloud III,4,CADENCE PARTNERSHIP LLP,Department for Environment Food And Rural Affairs,2013-09-01l,SCS,12285
G-Cloud III,4,CADENCE PARTNERSHIP LLP,Home Office,2013-09-01l,SCS,18900
G-Cloud III,4,CADENCE PARTNERSHIP LLP,Home Office,2013-09-01l,SCS,4275
G-Cloud III,4,Cassidian CyberSecurity Limited,Ministry of Justice,2013-09-01l,Information Assurance Services,55143.66
G-Cloud III,4,Cassidian CyberSecurity Limited,Ministry of Justice,2013-09-01l,Information Assurance Services,22411
G-Cloud III,4,Compass Management Consulting Ltd,National Employment Savings Trust,2013-09-01l,IT Sourcing Review,41441.35
G-Cloud III,4,Deltascheme  Ltd,National Audit Office,2013-09-01l,The provision of SharePoint Technical Services to assist with the delivery of a working SharePoint 2013 prototype environment,5454.9
G-Cloud III,4,Deltascheme  Ltd,Vehicle Certification Agency,2013-09-01l,Business analysis and solution design consultancy,2051.6
G-Cloud Services II,3,IIZUKA Software Technologies Ltd,Cabinet Office,2013-03-01l,IIZUKA Case Manager,116250
G-Cloud Services II,3,IIZUKA Software Technologies Ltd,Cabinet Office,2013-07-01l,IIZUKA Case Manager,20200
G-Cloud Services II,3,IKEN BUSINESS LTD,Hampshire Constabulary,2013-07-01l,Iken Case Management  Time Recording initial fee,8000
G-Cloud Services II,3,IKEN BUSINESS LTD,Hampshire Constabulary,2013-07-01l,Iken Court Bundling initial fee,3000
G-Cloud Services II,3,IKEN BUSINESS LTD,Hampshire Constabulary,2013-07-01l,Iken MI initial fee,3000
G-Cloud Services II,3,IKEN BUSINESS LTD,Hampshire Constabulary,2013-07-01l,Iken Case Management  Time Recording annual fee,2816
G-Cloud Services II,3,IKEN BUSINESS LTD,Hampshire Constabulary,2013-07-01l,Iken Court Bundling annual fee,600
G-Cloud Services II,3,IKEN BUSINESS LTD,Hampshire Constabulary,2013-07-01l,Iken MI annual fee,600
G-Cloud Services II,3,IKEN BUSINESS LTD,Wiltshire Council,2013-07-01l,Iken MI initial fee,2500
G-Cloud Services II,3,IKEN BUSINESS LTD,Wiltshire Council,2013-07-01l,Iken MI annual fee,800
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Enfield Council,2013-06-01l,Iken Case Management Time Recording   Court Bundling- initial licence fee,33775
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Enfield Council,2013-06-01l,Consultancy - project management,750
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Enfield Council,2013-06-01l,Expenses,157.75
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon Council,2013-06-01l,Consultancy - Installation  training,11340
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon Council,2013-06-01l,Expenses,2040.68
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon Council,2013-06-01l,Consultancy - Installation  training,1620
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon Council,2013-06-01l,Expenses,363.87
G-Cloud Services II,3,IKEN BUSINESS LTD,Wiltshire Council,2013-06-01l,Consultancy - project management,500
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon,2012-12-01l,Iken MI Year 1 annual licence and support fee,1000
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon,2012-12-01l,Iken Case Management and Time Recording Year 1 annual licence and support fee,14400
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon,2012-12-01l,Iken Case Management and Time Recording initial licence fee,42525
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon,2013-03-01l,Subsistence,10.58
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon,2013-03-01l,Travel,116.27
